;id;user;fullname;url;timestamp;replies;likes;retweets;text
2054;1126290701468069888;bt_exchange;Bitcoin Exchange BR;/bt_exchange/status/1126290701468069888;2019-05-08 23:00:03+00;0.0;0.0;0.0;1 BTC = 23855.68666000 BRL em 08/05/2019 ás 22:00:03. #bitcoin #bitcoinbr #bitcoinexchangebr
2101;1126278648758190095;NowBitcoinPrice;Bitcoin Price Now;/NowBitcoinPrice/status/1126278648758190095;2019-05-08 22:12:09+00;0.0;1.0;0.0;May 09, 2019 00:11:00 UTC | 6,037.00$ | 5,391.10€ | 4,640.70£ | #Bitcoin #btc pic.twitter.com/TRTbshkqwF
2120;1126290943458594817;CoinCapsAi;CoinCaps.ai;/CoinCapsAi/status/1126290943458594817;2019-05-08 23:01:01+00;0.0;0.0;0.0;"QNO #Vaultmex Price Alert
 Time: 2019-05-09 04:01:00
#QNO BTC
 Change:%
#ethereum #cryptocurrencymarket #trading #ltc $QRL #vaultmex
https://vaultmex.com "
2121;1126290824059289601;cryptanalyser;cryptanalyser;/cryptanalyser/status/1126290824059289601;2019-05-08 23:00:32+00;0.0;1.0;1.0;#BTCUSD Market #1H timeframe on  May 9 at 00:00 (UTC)  is #Bullish.  #cryptocurrency #bitcoin #btc #crypto #trading #idea #report technical analysis
2122;1126290905835552768;FeesBitcoin;FeesBitcoin;/FeesBitcoin/status/1126290905835552768;2019-05-08 23:00:52+00;0.0;0.0;0.0;#Bitcoin $6,109.70 v #BitcoinCash $435.62 (BTC/BCH 14.0), Avg Transaction fee for #Bitcoin ~$1.69 v #BitcoinCash ~$0.00 - 2019/05/09 10:00JST
2123;1126290783445716992;jpy;JPY;/jpy/status/1126290783445716992;2019-05-08 23:00:22+00;0.0;0.0;0.0;"USD: 109.930
EUR: 123.020
GBP: 142.997
AUD:  76.764
NZD:  72.323
CNY:  16.205
CHF: 107.701
BTC: 661,404
ETH: 18,780
Thu May 09  10:00 JST"
2124;1126290780212027392;spd_price;スピンドル仮想通貨の価格通知BOT;/spd_price/status/1126290780212027392;2019-05-08 23:00:22+00;0.0;0.0;1.0;"05-09 01:00(GMT)
#SPINDLE price

$SPD (BTC)
Yobit   :0.00000015
HitBTC  :0.00000018
LiveCoin:0.00000012

$SPD (JPY)
Yobit   :0.10
HitBTC  :0.12
LiveCoin:0.08"
2125;1126290712860008450;marketcapbot;MarketCapBOT;/marketcapbot/status/1126290712860008450;2019-05-08 23:00:06+00;0.0;0.0;0.0;" Total Market Cap: $187,693,933,915
 1 BTC: $6,028.50
 BTC Dominance: 56.65%
 Update Time: 09-05-2019 - 04:00:05 (GMT+3)"
2126;1126290779473829888;indepreserve;Independent Reserve;/indepreserve/status/1126290779473829888;2019-05-08 23:00:21+00;1.0;3.0;0.0;"IR market update ( $AUD ):

$BTC $8 603.97 (3.71%)
$XRP $0.42225 (1.75%)
$ETH $244.23 (2.58%)
$EOS $6.9991 (3.69%)
$BCH $414.00 (2.98%)

For more details see here: https://www.independentreserve.com "
2127;1126290707533033472;BTC_Stats;BTC-Stats;/BTC_Stats/status/1126290707533033472;2019-05-08 23:00:04+00;0.0;0.0;0.0;"  2019/05/09 10:00:04
 BTCドミナンス : 56.6638%
  未承認 : 19,538
 BitFlyer SPOT/FX/乖離
　　660,502 / 661,111 / 0.092%
 BitMex 調達率
　　BTC : -0.1053% / -0.0876%
　　ETH : 0.0642% / 0.01%
 Finex FRR
　　BTC : 25.163%
　　USD : 14.902%"
2128;1126278116467453952;aWebAnalysis;aWebAnalysis;/aWebAnalysis/status/1126278116467453952;2019-05-08 22:10:02+00;0.0;0.0;0.0;"Bitcoin BTC Current Price:
$5,996.04
1 Hour: 0.28 % | 24 Hours: 2.00 % | 7 Days: 11.16 %
#btc #bitcoin"
2133;1126290711266168832;CryptoPriceCall;Crypto Price Trading 30m;/CryptoPriceCall/status/1126290711266168832;2019-05-08 23:00:05+00;0.0;0.0;0.0;"$BTC : +0.44% 6008$
Top (last h):
$SAN : +7.15% 14130st
$ORBS : +6.72% 593st
$DENT : +4.62% 13st
$ZEN : +4.00% 192124st
Worst (last h):
$MXM : -3.11% 734st
$BSV : -1.85% 964623st
$RVN : -1.82% 751st
#cryptocurrency #blockchain"
2134;1126290705821966336;coin_chart;仮想通貨チャート;/coin_chart/status/1126290705821966336;2019-05-08 23:00:04+00;0.0;0.0;0.0;"2019/05/09 10:00
BTC 659640円
ETH 18744.4円
ETC 627.9円
BCH 31469.9円
XRP 32.5円
XEM 5.6円
LSK 187.2円
MONA 105.4円

#仮想通貨 #ビットコイン #Bitcoin #bitFlyer #Coincheck"
2135;1126290702365790208;kurneoldu;Kur Ne Oldu;/kurneoldu/status/1126290702365790208;2019-05-08 23:00:03+00;0.0;0.0;0.0;₿ #BTCUSD #Bitcoin = 6.060,61 #Dolar Güncelleme Saati : 04:00
2137;1126290697064210433;cryptoc_cheap;いま注目の格安仮想通貨！;/cryptoc_cheap/status/1126290697064210433;2019-05-08 23:00:02+00;0.0;0.0;0.0;"2019/05/09 10:00
#Binance 格安コイン

1位 #NPXS 0.00000010 BTC(0.07円)
2位 #BTT 0.00000011 BTC(0.07円)
3位 #DENT 0.00000013 BTC(0.09円)
4位 #HOT 0.00000020 BTC(0.13円)
5位 #BCN 0.00000022 BTC(0.15円)

#仮想通貨 #アルトコイン #草コイン"
2138;1126290696170643456;asens_inc;ASENS inc.;/asens_inc/status/1126290696170643456;2019-05-08 23:00:02+00;0.0;0.0;0.0;"05/09 10:00現在

#Bitcoin : 658,500円↑
#NEM #XEM : 5.5755円↑
#Monacoin : 106円↓
#Ethereum : 18,750円↑
#Zaif : 0.197円→"
2139;1126290695990534148;stratumHKBot;StratumHKBot;/stratumHKBot/status/1126290695990534148;2019-05-08 23:00:02+00;0.0;0.0;0.0;"Preços Bank To Crypto:

BITCOIN: R$ 23.943,19
BITCOIN-CASH: R$ 1.252,54
ETHEREUM: R$ 715,56
SMARTCASH: R$ 0,05
ZCORE: R$ 0,59

http://bktc.com.br  #stratum #forkthebanks
08/05/19-22:00"
2140;1126290694031548416;coinstats;Coinstats;/coinstats/status/1126290694031548416;2019-05-08 23:00:01+00;0.0;0.0;0.0;"Bitcoin - BTC
Price: $6,010.96
Change in 1h: +0.48%
Market cap: $106,333,625,309.00
Ranking: 1
#Bitcoin #BTC"
2141;1126290692857315332;short_vs_long;SHORT vs LONG(Beta);/short_vs_long/status/1126290692857315332;2019-05-08 23:00:01+00;0.0;0.0;0.0;"24H
2019/05/08 21:00 (2019/05/07 21:00)
LONG : 18384.57 BTC (+116.84 BTC)
SHORT : 32423.37 BTC (+341.98 BTC)
LS比 : 36%  vs 63% (36% vs 63%)"
2142;1126290691825520640;stratumHKBot;StratumHKBot;/stratumHKBot/status/1126290691825520640;2019-05-08 23:00:01+00;0.0;0.0;0.0;"Prices in USD:
BTC 6.445,54 / 5.602,20
BCH 316,17 / 273,06
BTG 21,49 / 18,56
DGB 0,01 / 0,01
DSH 129,99 / 112,26
ETH 185,31 / 163,00
RBTC 6.314,22 / 5.712,86
SMART 0,01 / 0,01
TUSD 1,07 / 0,97
XEM 0,05 / 0,05
XRP 0,32 / 0,29
ZCR 0,13 / 0,12
ZEC 64,39 / 55,61
#stratum"
2143;1126290692098207744;short_vs_long;SHORT vs LONG(Beta);/short_vs_long/status/1126290692098207744;2019-05-08 23:00:01+00;0.0;0.0;0.0;"1H
2019/05/08 21:00 (2019/05/08 20:00)

LONG : 18384.57 BTC (+85.39 BTC)
SHORT : 32423.37 BTC (-23.78 BTC)

LS比 : 36%  vs 63% (36% vs 63%)"
2144;1126290191449149440;cointrend_jp;COINTREND;/cointrend_jp/status/1126290191449149440;2019-05-08 22:58:01+00;0.0;0.0;0.0;"ツイート数の多かった仮想通貨
1位 $BTC 418 Tweets
2位 $TRX 194 Tweets
3位 $DOGE 70 Tweets
4位 $C20 57 Tweets
5位 $XRP 35 Tweets
2019-05-09 08:00 ～ 2019-05-09 08:59
COINTREND いまTwitterで話題の仮想通貨を探せ！
https://cointrend.jp/ "